Rank,Name,Team,Cl,Games,Saves,GA,Goalie Min. Plyd,Pct.
-,Filip Sabatti,Memphis,Jr.,15,48,19,1350,.716
101,Trace Alphin,Wake Forest,Sr.,24,68,27,2183,.716
102,Brandon McGaugh,Kansas City,Sr.,21,75,30,1897,.714
-,Wessel Speel,Duke,Sr.,19,45,18,1638,.714
-,Devin Armstrong,NJIT,Jr.,17,60,24,1428,.714
-,Alex Eydelman,Radford,Sr.,14,75,30,1237,.714
106,Nelton Semedo,Merrimack,Sr.,15,72,29,1350,.713
107,Ludvig Malberg,Manhattan,Jr.,16,52,21,1395,.712
108,Peter Van Euwen,Bellarmine,Sr.,15,42,17,1268,.712
109,David Mitzner,UC Santa Barbara,Sr.,22,59,24,2002,.711
-,Chris Edwards,Yale,Sr.,15,59,24,1350,.711
111,Noah Schwengeler,UC Davis,Jr.,19,49,20,1498,.710
112,Tomas Wroblewski,Elon,Sr.,18,61,25,1620,.709
113,Zack Murphy,VMI,Jr.,17,85,35,1466,.708
114,Felix Schaefer,South Fla.,Sr.,16,58,24,1440,.707
115,Ciaran Dalton,Rutgers,Jr.,17,65,27,1530,.707
116,Ryan Friedberg,Cornell,Jr.,19,48,20,1723,.706
-,Nic Lemen,Northern Ky.,Jr.,14,36,15,1188,.706
118,Djibril Doumbia,San Diego St.,Sr.,15,43,18,1234,.705
119,Olly Marshall,Col. of Charleston,Jr.,18,69,29,1632,.704
120,Jaume Salvado,George Mason,Sr.,16,33,14,1367,.702
121,Aaron Salinas,Furman,So.,19,47,20,1741,.701
-,Ben Williams,Utah Valley,Jr.,18,47,20,1620,.701
123,Oliver Townend,Colgate,Sr.,17,49,21,1547,.700
-,Christian Sekanina,Jacksonville,Jr.,15,42,18,1350,.700
-,Nicolò Radaelli,Stetson,Jr.,15,49,21,1311,.700
126,Sebastian Cutler-DeJesus,Villanova,So.,12,58,25,1035,.699
127,Grant Calvert,Belmont,Sr.,17,46,20,1530,.697
128,Niclas Becker,Saint Francis,So.,11,39,17,990,.696
129,Andrew Wike,Boston U.,Sr.,12,32,14,985,.696
130,Tomas Butkovic,Drake,Fr.,17,41,18,1530,.695
131,Martin Dominguez,SMU,Jr.,16,50,22,1460,.694
132,JT Harms,Indiana,Sr.,21,54,24,1880,.692
-,Alec McLachlan,St. John's (NY),Jr.,19,45,20,1711,.692
134,Stephen Yerian,Cleveland St.,So.,9,38,17,810,.691
135,Charlie Lanphier,Seattle U,Jr.,19,49,22,1725,.690
136,Lucian Wood,Harvard,Jr.,9,31,14,810,.689
137,Max Hinke,Longwood,Jr.,17,84,38,1509,.689
138,Nolan Premack,UC San Diego,Sr.,18,66,30,1620,.688
139,Viktor Nikolov,Fairfield,Jr.,17,70,32,1408,.686
140,Isaac Nehme,Denver,Jr.,23,39,18,2057,.684
-,Josh Lane,Robert Morris,So.,19,52,24,1686,.684
-,Tomas Hut,Syracuse,Sr.,17,52,24,1459,.684
143,Costi Christodoulou,Dartmouth,Sr.,15,56,26,1350,.683
144,Carlos Gonzalez,UC Riverside,Sr.,16,51,24,1426,.680
145,Julian Marcos,Mount St. Mary's,Jr.,17,65,31,1530,.677
146,Fernando Schmelz,Iona,Fr.,11,25,12,945,.676
-,Tristan Stephani,Holy Cross,Sr.,9,25,12,810,.676
148,Alvaro Rodriguez,Green Bay,Sr.,17,56,27,1520,.675
149,Joseph Andema,Clemson,Jr.,16,35,17,1321,.673
150,AJ Piela,Louisville,Fr.,10,41,20,900,.672
